Col,Row,X- axis,Y - axis,Z - axis,,Home,,Pick,,,Place,,Pick from,Place in,,Waypoints
c,4,0.446875,-0.04375,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick35,[0.446875; -0.04375; 0.45],0.446875 -0.04375 0.45;,place35,[0.446875; -0.04375; 0.45],0.446875 -0.04375 0.45;,[0.446875 -0.04375 0.45;0.446875 -0.04375 0.45;0.45 0 0.49;,,Waypoint35,
d,4,0.446875,0,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick36,[0.446875; 0; 0.45],0.446875 0 0.45;,place36,[0.446875; 0; 0.45],0.446875 0 0.45;,[0.446875 0 0.45;0.446875 0 0.45;0.45 0 0.49;,,Waypoint36,
e,4,0.446875,0.04375,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick37,[0.446875; 0.04375; 0.45],0.446875 0.04375 0.45;,place37,[0.446875; 0.04375; 0.45],0.446875 0.04375 0.45;,[0.446875 0.04375 0.45;0.446875 0.04375 0.45;0.45 0 0.49;,,Waypoint37,
f,4,0.446875,0.0875,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick38,[0.446875; 0.0875; 0.45],0.446875 0.0875 0.45;,place38,[0.446875; 0.0875; 0.45],0.446875 0.0875 0.45;,[0.446875 0.0875 0.45;0.446875 0.0875 0.45;0.45 0 0.49;,,Waypoint38,
g,4,0.446875,0.13125,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick39,[0.446875; 0.13125; 0.45],0.446875 0.13125 0.45;,place39,[0.446875; 0.13125; 0.45],0.446875 0.13125 0.45;,[0.446875 0.13125 0.45;0.446875 0.13125 0.45;0.45 0 0.49;,,Waypoint39,
h,4,0.446875,0.175,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick40,[0.446875; 0.175; 0.45],0.446875 0.175 0.45;,place40,[0.446875; 0.175; 0.45],0.446875 0.175 0.45;,[0.446875 0.175 0.45;0.446875 0.175 0.45;0.45 0 0.49;,,Waypoint40,
a,3,0.490625,-0.13125,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick41,[0.490625; -0.13125; 0.45],0.490625 -0.13125 0.45;,place41,[0.490625; -0.13125; 0.45],0.490625 -0.13125 0.45;,[0.490625 -0.13125 0.45;0.490625 -0.13125 0.45;0.45 0 0.49;,,Waypoint41,
b,3,0.490625,-0.0875,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick42,[0.490625; -0.0875; 0.45],0.490625 -0.0875 0.45;,place42,[0.490625; -0.0875; 0.45],0.490625 -0.0875 0.45;,[0.490625 -0.0875 0.45;0.490625 -0.0875 0.45;0.45 0 0.49;,,Waypoint42,
c,3,0.490625,-0.04375,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick43,[0.490625; -0.04375; 0.45],0.490625 -0.04375 0.45;,place43,[0.490625; -0.04375; 0.45],0.490625 -0.04375 0.45;,[0.490625 -0.04375 0.45;0.490625 -0.04375 0.45;0.45 0 0.49;,,Waypoint43,
d,3,0.490625,0,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick44,[0.490625; 0; 0.45],0.490625 0 0.45;,place44,[0.490625; 0; 0.45],0.490625 0 0.45;,[0.490625 0 0.45;0.490625 0 0.45;0.45 0 0.49;,,Waypoint44,
e,3,0.490625,0.04375,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick45,[0.490625; 0.04375; 0.45],0.490625 0.04375 0.45;,place45,[0.490625; 0.04375; 0.45],0.490625 0.04375 0.45;,[0.490625 0.04375 0.45;0.490625 0.04375 0.45;0.45 0 0.49;,,Waypoint45,
f,3,0.490625,0.0875,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick46,[0.490625; 0.0875; 0.45],0.490625 0.0875 0.45;,place46,[0.490625; 0.0875; 0.45],0.490625 0.0875 0.45;,[0.490625 0.0875 0.45;0.490625 0.0875 0.45;0.45 0 0.49;,,Waypoint46,
g,3,0.490625,0.13125,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick47,[0.490625; 0.13125; 0.45],0.490625 0.13125 0.45;,place47,[0.490625; 0.13125; 0.45],0.490625 0.13125 0.45;,[0.490625 0.13125 0.45;0.490625 0.13125 0.45;0.45 0 0.49;,,Waypoint47,
h,3,0.490625,0.175,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick48,[0.490625; 0.175; 0.45],0.490625 0.175 0.45;,place48,[0.490625; 0.175; 0.45],0.490625 0.175 0.45;,[0.490625 0.175 0.45;0.490625 0.175 0.45;0.45 0 0.49;,,Waypoint48,
a,2,0.534375,-0.13125,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick49,[0.534375; -0.13125; 0.45],0.534375 -0.13125 0.45;,place49,[0.534375; -0.13125; 0.45],0.534375 -0.13125 0.45;,[0.534375 -0.13125 0.45;0.534375 -0.13125 0.45;0.45 0 0.49;,,Waypoint49,
b,2,0.534375,-0.0875,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick50,[0.534375; -0.0875; 0.45],0.534375 -0.0875 0.45;,place50,[0.534375; -0.0875; 0.45],0.534375 -0.0875 0.45;,[0.534375 -0.0875 0.45;0.534375 -0.0875 0.45;0.45 0 0.49;,,Waypoint50,
c,2,0.534375,-0.04375,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick51,[0.534375; -0.04375; 0.45],0.534375 -0.04375 0.45;,place51,[0.534375; -0.04375; 0.45],0.534375 -0.04375 0.45;,[0.534375 -0.04375 0.45;0.534375 -0.04375 0.45;0.45 0 0.49;,,Waypoint51,
d,2,0.534375,0,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick52,[0.534375; 0; 0.45],0.534375 0 0.45;,place52,[0.534375; 0; 0.45],0.534375 0 0.45;,[0.534375 0 0.45;0.534375 0 0.45;0.45 0 0.49;,,Waypoint52,
e,2,0.534375,0.04375,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick53,[0.534375; 0.04375; 0.45],0.534375 0.04375 0.45;,place53,[0.534375; 0.04375; 0.45],0.534375 0.04375 0.45;,[0.534375 0.04375 0.45;0.534375 0.04375 0.45;0.45 0 0.49;,,Waypoint53,
f,2,0.534375,0.0875,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick54,[0.534375; 0.0875; 0.45],0.534375 0.0875 0.45;,place54,[0.534375; 0.0875; 0.45],0.534375 0.0875 0.45;,[0.534375 0.0875 0.45;0.534375 0.0875 0.45;0.45 0 0.49;,,Waypoint54,
